oa_id,region,region_key,title,first_author,year,cites,venue,doi,measures,measure_setting,open_world
W4410615860,Silicon sampling (population),A,Adaptive political surveys and GPT-4: Tackling the cold start problem with simulated user interactions,Fynn Bachmann,2025,3,PLoS ONE,https://doi.org/10.1371/journal.pone.0322690,,,
W4386113808,Silicon sampling (population),A,"""Guinea Pig Trials"" Utilizing GPT: A Novel Smart Agent-Based Modeling Approach for Studying Firm Competition and Collusion",Xu Han,2023,3,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2308.10974,,,
W4400720113,Silicon sampling (population),A,Leveraging LLM-Respondents for Item Evaluation: a Psychometric Analysis,Yunting Liu,2024,3,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2407.10899,,,
W4411278050,Silicon sampling (population),A,Synthetic Voices: Evaluating the Fidelity of LLM-Generated Personas in Representing People’s Financial Wellbeing,Arshnoor Kaur,2025,3,,https://doi.org/10.1145/3699682.3728339,,,
W4391689727,Silicon sampling (population),A,A Technological Construction of Society: Comparing GPT-4 and Human Respondents for Occupational Evaluation in the UK,Paweł Gmyrek,2024,3,,https://doi.org/10.31235/osf.io/8bc4n,,,
W4412785405,Silicon sampling (population),A,Automated survey collection with LLM-based conversational agents,Kurmanbek Kaiyrbekov,2025,2,JAMIA Open,https://doi.org/10.1093/jamiaopen/ooaf103,,,
W4415157977,Silicon sampling (population),A,AgentA/B: Automated and Scalable Web A/BTesting with Interactive LLM Agents,Yuxuan Lu,2025,2,ArXiv.org,https://doi.org/10.48550/arxiv.2504.09723,,,
W4412944588,Silicon sampling (population),A,Mixture-of-Personas Language Models for Population Simulation,Toan Ngoc Bui,2025,2,,https://doi.org/10.18653/v1/2025.findings-acl.1271,,,
W4412944482,Silicon sampling (population),A,PAARS: Persona Aligned Agentic Retail Shoppers,Saab Mansour,2025,2,,https://doi.org/10.18653/v1/2025.realm-1.11,,,
W4411113253,Silicon sampling (population),A,Biases in Opinion Dynamics in Multi-Agent Systems of Large Language Models: A Case Study on Funding Allocation,Pedro Cisneros-Velarde,2025,2,,https://doi.org/10.18653/v1/2025.findings-naacl.101,,,
W4411120654,Silicon sampling (population),A,Variational Inference of Parameters in Opinion Dynamics Models,Jacopo Lenti,2025,2,Proceedings of the International AAAI Conference on Web and Social Media,https://doi.org/10.1609/icwsm.v19i1.35963,,,
W4389484812,Silicon sampling (population),A,Artificial Populations in Agent-Based Modeling,Oksana E. Glushchenko,2023,2,Preprints.org,https://doi.org/10.20944/preprints202312.0346.v1,,,
W7131225939,Silicon sampling (population),A,LLM-PDM: An LLM Persona-Driven Method for replicating personal mobility preferences at scale,Ioannis Tzachristas,2026,2,Communications in Transportation Research,https://doi.org/10.26599/commtr.2026.9640004,,,
W4406886202,Silicon sampling (population),A,Machine Bias. How Do Generative Language Models Answer Opinion Polls?,Julien Boelaert,2024,2,,https://doi.org/10.31235/osf.io/r2pnb_v1,,,
W4390938684,Silicon sampling (population),A,Energy Social Surveys Replicated with Large Language Model Agents,Michael J. Fell,2024,2,SSRN Electronic Journal,https://doi.org/10.2139/ssrn.4686345,,,
W4404650263,Silicon sampling (population),A,Learning to Cooperate with Humans using Generative Agents,Yancheng Liang,2024,1,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2411.13934,,,
W7153846082,Silicon sampling (population),A,Simulation of Human Survey Responses for Market Research: The Role of Contextualization in LLM-Based Agents,Bhupender Kumar Saini,2026,1,,https://doi.org/10.1145/3772363.3798991,,,
W7116297987,Silicon sampling (population),A,Simulating the people's voice: Leveraging algorithmic fidelity to assess ChatGPT's performance in modeling public opinion on Chinese government policies,ShaoPeng Che,2025,1,Information Processing & Management,https://doi.org/10.1016/j.ipm.2025.104567,,,
W4416118137,Silicon sampling (population),A,Mixture-of-Personas Language Models for Population Simulation,Toan Ngoc Bui,2025,1,ArXiv.org,https://doi.org/10.48550/arxiv.2504.05019,,,
W4403704332,Silicon sampling (population),A,Agentic Society: Merging skeleton from real world and texture from Large Language Model,Yuqi Bai,2024,1,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2409.10550,,,
W4404354182,Silicon sampling (population),A,ElectionSim: Massive Population Election Simulation Powered by Large Language Model Driven Agents,Xinnong Zhang,2024,1,ArXiv.org,https://doi.org/10.48550/arxiv.2410.20746,,,
W4413880686,Silicon sampling (population),A,Generative ai and sociology: analyzing virtual respondent technology,Z.V. Puzanova,2025,1,Sociology methodology methods mathematical modeling (Sociology 4M),https://doi.org/10.19181/4m.2025.34.1.6,,,
W4409963398,Silicon sampling (population),A,How Well Do Simulated Population Samples with GPT-4 Align with Real Ones? The Case of the Eysenck Personality Questionnaire Revised-Abbreviated Personality Test,Gregorio Ferreira,2025,1,Health Data Science,https://doi.org/10.34133/hds.0284,,,
W7127933692,Silicon sampling (population),A,Emulating Aggregate Human Choice Behavior and Biases with GPT Conversational Agents,Stephen Pilli,2026,1,,https://doi.org/10.1145/3772318.3791835,,,
